region;;;median;upper;lower;median;upper
Sub-Saharan Africa;;;39,820157;42,396932;568662;591774;626820
West and Central Africa;;;40,214721;44,137154;262349;279006;303798
Eastern and Southern Africa;;;39,474451;42,521735;295842;312767;334924
Middle East and North Africa;;;9,516906;10,260104;63007;66627;71738
South Asia;;;20,386521;21,239496;561782;582802;605420
East Asia and Pacific;;;9,801735;11,101171;305769;340142;384156
Latin America and Caribbean;;;6,058459;6,887877;60889;63150;71488
North America;;;2,401342;2,443074;9246;9408;9569
Europe and Central Asia;;;4,258448;4,466556;52215;54285;56920
Eastern Europe and Central Asia;;;5,999659;6,391635;39493;41570;44194
Western Europe;;;2,172299;2,189145;12623;12715;12815
World;;;15,186152;15,841255;1665782;1708192;1778217
Sub-Saharan Africa;;;39,125599;41,464077;576814;598067;630943
West and Central Africa;;;39,668677;43,346191;267187;283437;307486
Eastern and Southern Africa;;;38,648553;41,327751;299324;314630;334506
Middle East and North Africa;;;9,166431;9,856855;62382;65880;70792
South Asia;;;20,486417;21,338832;576818;597996;621367
East Asia and Pacific;;;9,440916;10,638789;300377;331852;372361
Latin America and Caribbean;;;5,823869;6,462529;59331;61350;67832
North America;;;2,350521;2,39132;9194;9352;9511
Europe and Central Asia;;;4,248185;4,450779;52270;54284;56853
Eastern Europe and Central Asia;;;6,006943;6,384892;39957;41976;44537
Western Europe;;;2,114532;2,130509;12222;12307;12402
World;;;15,037218;15,636733;1678924;1718785;1783894
Sub-Saharan Africa;;;38,417905;40,573097;583147;603468;634647
West and Central Africa;;;39,120985;42,682543;271701;287580;311608
Eastern and Southern Africa;;;37,799139;40,170005;301628;315888;334206
Middle East and North Africa;;;8,532228;9,172936;59429;62859;67533
South Asia;;;19,198512;19,979761;551955;571675;593426
East Asia and Pacific;;;9,058898;10,222721;296247;325795;364986
Latin America and Caribbean;;;5,596516;6,072583;57740;59525;64424
North America;;;2,301904;2,342272;9147;9308;9468
Europe and Central Asia;;;4,317492;4,516135;53288;55313;57841
Eastern Europe and Central Asia;;;6,168762;6,537683;41413;43439;45969
Western Europe;;;2,048965;2,064342;11789;11872;11963
World;;;14,49429;15,05067;1650746;1687947;1749085
Sub-Saharan Africa;;;37,665238;39,677334;587327;606918;636918
West and Central Africa;;;38,567486;41,948801;275664;291113;314702
Eastern and Southern Africa;;;36,870041;39,057073;302055;315805;333332
Middle East and North Africa;;;8,139453;8,732492;57883;61203;65636
South Asia;;;18,611163;19,361054;545461;564068;585742
East Asia and Pacific;;;8,670088;9,789776;292639;320991;359493
Latin America and Caribbean;;;5,38564;5,750574;56188;57773;61597
North America;;;2,257717;2,296837;9126;9278;9435
Europe and Central Asia;;;4,231593;4,423227;52355;54329;56780
Eastern Europe and Central Asia;;;6,050356;6,402824;40940;42919;45359
Western Europe;;;1,976912;1,991767;11329;11409;11497
World;;;14,102917;14,623426;1638567;1674563;1733090
Sub-Saharan Africa;;;38,171503;40,123798;609609;628894;658845
West and Central Africa;;;37,983739;41,149225;278686;293672;316143
Eastern and Southern Africa;;;38,33685;40,544659;321279;335222;353337
Middle East and North Africa;;;7,798587;8,356823;56361;59599;63857
South Asia;;;18,019872;18,7464;536672;554606;575803
East Asia and Pacific;;;8,28864;9,377202;288265;315558;353862
Latin America and Caribbean;;;5,197315;5,485438;54737;56171;59211
North America;;;2,213969;2,253196;9089;9242;9403
Europe and Central Asia;;;4,151395;4,335422;51388;53310;55673
Eastern Europe and Central Asia;;;5,951307;6,29012;40451;42375;44744
Western Europe;;;1,902411;1,917035;10852;10933;11019
World;;;13,88199;14,38652;1642126;1677383;1735126
Sub-Saharan Africa;;;36,996616;38,82947;603812;622326;651150
West and Central Africa;;;37,356371;40,358296;280572;295015;316664
Eastern and Southern Africa;;;36,678195;38,755485;313857;327311;344881
Middle East and North Africa;;;7,49482;8,020344;54832;57955;62013
South Asia;;;17,414753;18,116814;525509;543021;563977
East Asia and Pacific;;;7,932384;9,019831;281545;307908;346915
Latin America and Caribbean;;;5,026484;5,257014;53385;54675;57148
North America;;;2,16297;2,203948;9004;9162;9333
Europe and Central Asia;;;4,082851;4,262722;50422;52280;54599
Eastern Europe and Central Asia;;;5,881556;6,208308;39967;41821;44122
Western Europe;;;1,82869;1,842914;10380;10458;10542
World;;;13,448636;13,939954;1613068;1647331;1704382
Sub-Saharan Africa;;;35,102947;36,768089;587752;605400;632208
West and Central Africa;;;36,702273;39,445838;283281;297249;317710
Eastern and Southern Africa;;;33,687615;35,539807;295945;308151;324100
Middle East and North Africa;;;7,215819;7,708695;53287;56281;60125
South Asia;;;16,754926;17,427414;512243;529429;549906
East Asia and Pacific;;;7,592479;8,673217;272337;298673;338609
Latin America and Caribbean;;;4,873068;5,071095;52079;53250;55378
North America;;;2,10113;2,139596;8898;9051;9215
Europe and Central Asia;;;3,94836;4,119804;48477;50288;52507
Eastern Europe and Central Asia;;;5,695319;6,007879;38503;40304;42531
Western Europe;;;1,756859;1,771026;9908;9983;10065
World;;;12,925211;13,392989;1569264;1602376;1658361
Sub-Saharan Africa;;;34,296669;35,843632;588461;605572;631223
West and Central Africa;;;36,220064;38,71697;287235;300607;319689
Eastern and Southern Africa;;;32,591439;34,342026;293118;304965;320456
Middle East and North Africa;;;6,945609;7,411234;51577;54380;58033
South Asia;;;16,015333;16,658982;495074;511885;531736
East Asia and Pacific;;;7,286865;8,347078;259643;285937;326015
Latin America and Caribbean;;;4,732114;4,90211;50791;51914;53756
North America;;;2,029659;2,066384;8742;8896;9056
Europe and Central Asia;;;3,845589;4,012761;46744;48475;50635
Eastern Europe and Central Asia;;;5,579187;5,881727;37241;38962;41126
Western Europe;;;1,686646;1,700623;9436;9512;9593
World;;;12,571411;13,027454;1534403;1567064;1622397
Sub-Saharan Africa;;;33,310735;34,72833;584921;601484;625581
West and Central Africa;;;35,372484;37,622406;287664;300661;318288
Eastern and Southern Africa;;;31,477565;33,133519;289333;300823;315824
Middle East and North Africa;;;6,679603;7,115497;49623;52282;55699
South Asia;;;15,251294;15,86841;475553;492236;511483
East Asia and Pacific;;;7,026656;8,042599;244057;270862;310646
Latin America and Caribbean;;;4,833471;4,993598;52044;53210;54959
North America;;;1,951442;1,985551;8545;8696;8846
Europe and Central Asia;;;3,740382;3,897419;44799;46444;48473
Eastern Europe and Central Asia;;;5,470311;5,751536;35740;37387;39409
Western Europe;;;1,619302;1,632588;8984;9056;9133
World;;;12,245402;12,681445;1491904;1525218;1578878
Sub-Saharan Africa;;;32,322285;33,616316;579885;596058;618647
West and Central Africa;;;34,541896;36,586235;287643;300296;316687
Eastern and Southern Africa;;;30,342938;31,917266;284472;295762;310387
Middle East and North Africa;;;6,409742;6,817919;47511;50014;53214
South Asia;;;14,508181;15,094947;455846;472163;490728
East Asia and Pacific;;;6,762694;7,742924;226439;253429;292959
Latin America and Caribbean;;;4,826732;4,966241;52219;53289;54813
North America;;;1,873278;1,906491;8317;8466;8616
Europe and Central Asia;;;3,923013;4,115714;45775;47825;50305
Eastern Europe and Central Asia;;;5,889618;6,233928;37109;39168;41646
Western Europe;;;1,561728;1,574926;8586;8656;8732
World;;;11,953403;12,373343;1448025;1481248;1533751
Sub-Saharan Africa;;;31,339966;32,569032;573658;589463;611333
West and Central Africa;;;33,754281;35,642843;287206;299605;315048
Eastern and Southern Africa;;;29,182883;30,696555;278859;289858;304265
Middle East and North Africa;;;6,138175;6,5199;45309;47682;50670
South Asia;;;13,82003;14,390091;436915;452958;471176
East Asia and Pacific;;;6,516433;7,461973;210244;237133;275625
Latin America and Caribbean;;;4,352865;4,481491;47120;48162;49570
North America;;;1,803683;1,836321;8085;8239;8388
Europe and Central Asia;;;3,515997;3,652719;40555;41997;43734
Eastern Europe and Central Asia;;;5,237957;5,48309;32317;33763;35505
Western Europe;;;1,499195;1,512126;8166;8234;8307
World;;;11,576943;11,982065;1392373;1425638;1476899
Sub-Saharan Africa;;;30,34888;31,508684;568615;584305;605376
West and Central Africa;;;32,979719;34,757928;288134;300289;315312
Eastern and Southern Africa;;;27,989178;29,435448;273254;284016;298049
Middle East and North Africa;;;5,877949;6,235458;43139;45367;48144
South Asia;;;13,204447;13,757594;420321;436307;454150
East Asia and Pacific;;;6,275817;7,195801;196494;222350;259497
Latin America and Caribbean;;;4,261673;4,385456;46197;47225;48582
North America;;;1,745406;1,776199;7892;8040;8183
Europe and Central Asia;;;3,395121;3,522659;38376;39695;41284
Eastern Europe and Central Asia;;;5,100984;5,330403;30513;31830;33411
Western Europe;;;1,445023;1,457782;7799;7864;7936
World;;;11,284697;11,670318;1350187;1383292;1432119
Sub-Saharan Africa;;;29,364924;30,494885;563570;579344;600482
West and Central Africa;;;32,222162;33,944331;288835;301247;316134
Eastern and Southern Africa;;;26,793125;28,196907;267547;278098;291878
Middle East and North Africa;;;5,627831;5,967958;41004;43115;45744
South Asia;;;12,662714;13,195001;406059;421809;439266
East Asia and Pacific;;;6,036275;6,918065;184061;208636;243331
Latin America and Caribbean;;;4,137496;4,254735;44911;45915;47209
North America;;;1,696039;1,726024;7694;7837;7978
Europe and Central Asia;;;3,267937;3,383401;36174;37354;38757
Eastern Europe and Central Asia;;;4,947044;5,15796;28676;29856;31250
Western Europe;;;1,391512;1,404176;7434;7498;7568
World;;;11,005864;11,373459;1311840;1344013;1390093
Sub-Saharan Africa;;;28,394326;29,502702;558327;574338;595360
West and Central Africa;;;31,476279;33,181406;289779;302216;317356
Eastern and Southern Africa;;;25,612089;26,974721;261575;272122;285783
Middle East and North Africa;;;6,231825;6,745364;44398;47542;51503
South Asia;;;12,189215;12,706366;393611;409221;426219
East Asia and Pacific;;;5,796249;6,643437;173179;196140;227881
Latin America and Caribbean;;;4,042408;4,155524;43931;44918;46167
North America;;;1,652228;1,680733;7487;7622;7757
Europe and Central Asia;;;3,135612;3,238826;33997;35036;36266
Eastern Europe and Central Asia;;;4,777025;4,969208;26865;27906;29131
Western Europe;;;1,337282;1,349382;7069;7130;7197
World;;;10,792543;11,145906;1283960;1314820;1358814
Sub-Saharan Africa;;;27,441795;28,532634;552718;568950;590138
West and Central Africa;;;30,774436;32,494068;290525;303331;318753
Eastern and Southern Africa;;;24,425266;25,767134;255074;265619;279295
Middle East and North Africa;;;5,201149;5,511257;37372;39285;41653
South Asia;;;11,976131;12,485171;389638;404946;421796
East Asia and Pacific;;;6,58043;7,426284;197216;219129;249370
Latin America and Caribbean;;;3,962802;4,070982;43118;44071;45270
North America;;;1,609576;1,638252;7250;7387;7523
Europe and Central Asia;;;3,011554;3,100903;32038;32930;33965
Eastern Europe and Central Asia;;;4,591852;4,759717;25137;26026;27054
Western Europe;;;1,309073;1,321185;6842;6903;6970
World;;;10,821134;11,167255;1286621;1316702;1359354
Sub-Saharan Africa;;;26,49723;27,597264;545882;562451;584413
West and Central Africa;;;30,08853;31,824241;290776;304092;320387
Eastern and Southern Africa;;;23,237858;24,543293;247881;258359;272004
Middle East and North Africa;;;5,042587;5,344924;36018;37874;40162
South Asia;;;11,373851;11,864344;372341;386807;403128
East Asia and Pacific;;;5,336592;6,156966;154503;174448;202723
Latin America and Caribbean;;;3,894178;3,999944;42378;43311;44487
North America;;;1,563991;1,59381;6987;7126;7268
Europe and Central Asia;;;2,859719;2,935778;29926;30648;31503
Eastern Europe and Central Asia;;;4,393478;4,537292;23503;24220;25067
Western Europe;;;1,232209;1,243901;6368;6427;6490
World;;;10,227361;10,56473;1214294;1242667;1283872
Sub-Saharan Africa;;;25,585577;26,710106;540174;557298;580131
West and Central Africa;;;29,452931;31,240519;292025;306229;323241
Eastern and Southern Africa;;;22,059197;23,318311;240637;251069;264735
Middle East and North Africa;;;4,925295;5,222397;34988;36802;39038
South Asia;;;10,9818;11,460929;361831;375892;392019
East Asia and Pacific;;;5,125337;5,945911;144979;164679;192087
Latin America and Caribbean;;;3,795487;3,902725;41264;42186;43379
North America;;;1,513496;1,541737;6736;6863;6996
Europe and Central Asia;;;2,71955;2,781624;28078;28656;29339
Eastern Europe and Central Asia;;;4,1895;4,309012;21947;22529;23205
Western Europe;;;1,184628;1,195879;6068;6126;6186
World;;;9,978846;10,318247;1184539;1212378;1253551
Sub-Saharan Africa;;;24,694353;25,844895;534410;552299;576191
West and Central Africa;;;28,827346;30,733821;293674;308669;327277
Eastern and Southern Africa;;;20,904867;22,147198;232943;243630;257371
Middle East and North Africa;;;4,841791;5,139243;34299;36082;38313
South Asia;;;10,573374;11,044004;350592;364096;379949
East Asia and Pacific;;;4,922023;5,768365;136612;156038;183742
Latin America and Caribbean;;;3,721846;3,831275;40383;41304;42521
North America;;;1,459562;1,487372;6483;6600;6730
Europe and Central Asia;;;2,580626;2,630723;26344;26808;27345
Eastern Europe and Central Asia;;;3,977472;4,075002;20500;20960;21493
Western Europe;;;1,140049;1,150871;5793;5847;5905
World;;;9,723699;10,068679;1155629;1183230;1225146
Sub-Saharan Africa;;;23,835115;25,034767;528452;547387;572861
West and Central Africa;;;28,223383;30,250877;295095;311296;331519
Eastern and Southern Africa;;;19,78747;21,016037;225144;236091;249904
Middle East and North Africa;;;4,780022;5,083724;33834;35626;37895
South Asia;;;10,139434;10,606872;337766;351021;366891
East Asia and Pacific;;;5,912209;7,072801;160083;185682;223271
Latin America and Caribbean;;;3,646236;3,761613;39388;40364;41649
North America;;;1,405528;1,430033;6242;6351;6465
Europe and Central Asia;;;2,444754;2,48509;24750;25112;25535
Eastern Europe and Central Asia;;;3,762231;3,840515;19160;19521;19936
Western Europe;;;1,097871;1,108289;5539;5591;5645
World;;;9,763767;10,173935;1159215;1191547;1241241
Sub-Saharan Africa;;;23,027906;24,286142;522247;542806;570401
West and Central Africa;;;27,658184;29,811454;296113;314076;336535
Eastern and Southern Africa;;;18,732056;19,986142;217480;228729;243181
Middle East and North Africa;;;4,733023;5,045246;33556;35370;37698
South Asia;;;9,685005;10,152863;323665;336798;352824
East Asia and Pacific;;;4,556209;5,437298;122675;141738;169889
Latin America and Caribbean;;;3,568094;3,690179;38327;39366;40722
North America;;;1,354987;1,378556;6023;6132;6240
Europe and Central Asia;;;2,313821;2,347903;23277;23569;23919
Eastern Europe and Central Asia;;;3,549088;3,61557;17921;18212;18558
Western Europe;;;1,058109;1,068365;5308;5357;5410
World;;;9,193758;9,561034;1096447;1125781;1170426
Sub-Saharan Africa;;;22,274466;23,607501;515762;538355;568273
West and Central Africa;;;27,122231;29,453781;296641;316627;341395
Eastern and Southern Africa;;;17,754224;19,058785;209973;221728;237068
Middle East and North Africa;;;4,693545;5,022686;33342;35247;37697
South Asia;;;9,217415;9,691364;308147;321647;338026
East Asia and Pacific;;;4,385299;5,289308;116569;135414;163995
Latin America and Caribbean;;;6,874295;7,654285;68630;75628;84292
North America;;;1,313472;1,337078;5843;5957;6065
Europe and Central Asia;;;2,190264;2,220363;21928;22184;22490
Eastern Europe and Central Asia;;;3,344567;3,403891;16790;17042;17346
Western Europe;;;1,02015;1,030267;5093;5141;5193
World;;;9,229424;9,627624;1102903;1134435;1183078
Sub-Saharan Africa;;;21,574763;23,016216;510883;535293;568266
West and Central Africa;;;26,589992;29,159228;297425;319791;347915
Eastern and Southern Africa;;;16,866556;18,223698;203287;215502;231832
Middle East and North Africa;;;4,778431;5,138618;34012;36057;38733
South Asia;;;8,745688;9,237197;292104;306116;323109
East Asia and Pacific;;;4,233919;5,171989;111253;129991;159172
Latin America and Caribbean;;;3,400215;3,539074;36052;37179;38711
North America;;;1,28373;1,307479;5708;5818;5927
Europe and Central Asia;;;2,076496;2,105075;20773;21014;21304
Eastern Europe and Central Asia;;;3,15413;3,209801;15828;16064;16348
Western Europe;;;0,983651;0,993648;4903;4950;5001
World;;;8,67726;9,087668;1039147;1071471;1121617
Sub-Saharan Africa;;;20,931956;22,496583;506445;533261;570109
West and Central Africa;;;26,090644;28,887501;298023;323228;354847
Eastern and Southern Africa;;;16,059155;17,480593;197200;210032;227542
Middle East and North Africa;;;5,445221;5,859435;39073;41375;44435
South Asia;;;8,277571;8,795165;275527;290499;308564
East Asia and Pacific;;;4,066385;5,035109;105633;124319;154280
Latin America and Caribbean;;;3,315964;3,4648;34873;36064;37703
North America;;;1,266791;1,290916;5635;5746;5855
Europe and Central Asia;;;1,975121;2,002792;19839;20071;20352
Eastern Europe and Central Asia;;;2,981936;3,035808;15058;15287;15563
Western Europe;;;0,949475;0,959337;4737;4784;4833
World;;;8,465465;8,898365;1017156;1051337;1104324
Sub-Saharan Africa;;;20,310607;22,030508;502174;531158;572604
West and Central Africa;;;25,551801;28,66274;298675;325872;361920
Eastern and Southern Africa;;;15,3326;16,851391;191909;205286;224384
Middle East and North Africa;;;5,681266;6,172466;41037;43617;47271
South Asia;;;7,816525;8,38697;258904;274850;294868
East Asia and Pacific;;;3,921227;4,921747;100770;119562;150329
Latin America and Caribbean;;;3,234927;3,39822;33750;34979;36767
North America;;;1,26236;1,285781;5628;5736;5842
Europe and Central Asia;;;1,886426;1,913615;19103;19330;19608
Eastern Europe and Central Asia;;;2,829621;2,882473;14464;14689;14963
Western Europe;;;0,917873;0,927739;4595;4641;4691
World;;;8,233187;8,708878;993659;1029235;1087554
Sub-Saharan Africa;;;19,722232;21,597014;497890;529062;575419
West and Central Africa;;;25,003127;28,365791;298547;327945;368097
Eastern and Southern Africa;;;14,680851;16,331404;187066;201116;222438
Middle East and North Africa;;;5,690599;6,267977;41407;44286;48576
South Asia;;;7,379655;8,031875;241910;259685;282630
East Asia and Pacific;;;3,786253;4,818559;96143;115325;146831
Latin America and Caribbean;;;3,159493;3,335336;32699;33959;35868
North America;;;1,267949;1,291499;5666;5771;5878
Europe and Central Asia;;;1,822361;1,849245;18655;18882;19160
Eastern Europe and Central Asia;;;2,721479;2,773243;14138;14363;14636
Western Europe;;;0,889197;0,899739;4470;4519;4572
World;;;7,99895;8,523108;969155;1006971;1071685
Sub-Saharan Africa;;;19,139952;21,191264;492971;525979;578035
West and Central Africa;;;24,404447;28,07708;297578;328721;374032
Eastern and Southern Africa;;;14,0894;15,886609;182675;197257;220746
Middle East and North Africa;;;5,424058;6,103829;39589;42917;48004
South Asia;;;7,029293;7,782052;227015;247146;273629
East Asia and Pacific;;;3,661884;4,736315;92066;111577;144199
Latin America and Caribbean;;;3,087267;3,276392;31691;32985;35028
North America;;;1,280542;1,308704;5713;5835;5962
Europe and Central Asia;;;1,745772;1,774617;18075;18316;18616
Eastern Europe and Central Asia;;;2,584264;2,638924;13662;13903;14195
Western Europe;;;0,863773;0,876295;4355;4413;4476
World;;;7,769044;8,351128;946145;984756;1056863
Sub-Saharan Africa;;;18,58859;20,813391;488461;523568;581895
West and Central Africa;;;23,798701;27,747955;296136;329537;379601
Eastern and Southern Africa;;;13,560588;15,488889;178991;194031;219837
Middle East and North Africa;;;5,016103;5,72161;37221;40507;45882
South Asia;;;6,620199;7,473324;209780;232447;262528
East Asia and Pacific;;;3,538717;4,669972;88496;108002;142302
Latin America and Caribbean;;;3,016941;3,222088;30690;32010;34217
North America;;;1,295864;1,337813;5752;5925;6116
Europe and Central Asia;;;1,690307;1,724361;17681;17982;18340
Eastern Europe and Central Asia;;;2,486915;2,550625;13361;13653;13996
Western Europe;;;0,841343;0,857835;4254;4329;4413
World;;;7,520844;8,165523;920714;960444;1040675
Sub-Saharan Africa;;;18,062371;20,463755;485006;521133;585192
West and Central Africa;;;23,182181;27,372231;294294;329879;384706
Eastern and Southern Africa;;;13,08954;15,140342;175804;191254;219487
Middle East and North Africa;;;4,691999;5,449487;35376;38793;44605
South Asia;;;6,314733;7,298211;196129;220948;255646
East Asia and Pacific;;;3,432585;4,593273;85369;105120;140410
Latin America and Caribbean;;;2,948281;3,16744;29725;31092;33420
North America;;;1,307757;1,37454;5714;5985;6292
Europe and Central Asia;;;1,642459;1,685709;17330;17724;18182
Eastern Europe and Central Asia;;;2,401122;2,482358;13088;13472;13913
Western Europe;;;0,821137;0,844368;4153;4251;4371
World;;;7,312961;8,016894;899938;940798;1029200
Sub-Saharan Africa;;;17,55869;20,155897;480982;518429;589786
West and Central Africa;;;22,579149;27,10232;292275;329908;390463
Eastern and Southern Africa;;;12,649246;14,851299;172834;188522;219535
Middle East and North Africa;;;4,383566;5,184584;33654;37195;43477
South Asia;;;6,054562;7,160097;183644;210701;249652
East Asia and Pacific;;;3,332469;4,546915;82683;102508;139510
Latin America and Caribbean;;;2,879396;3,115541;28775;30210;32709
North America;;;1,310027;1,410277;5576;5984;6446
Europe and Central Asia;;;1,598955;1,65677;16979;17490;18112
Eastern Europe and Central Asia;;;2,322299;2,428431;12802;13317;13909
Western Europe;;;0,802117;0,8337;4043;4173;4337
World;;;7,121214;7,893295;879334;922520;1020331
