"Country","Year","Proportion of vaccination cards seen (%)"
"Afghanistan","2014","56"
"Albania","2016","93"
"Algeria","2011","92"
"Angola","2014","47"
"Armenia","2014","96"
"Azerbaijan","2005","72"
"Bangladesh","2015","83"
"Belarus","2004","100"
"Belgium","2014","100"
"Belize","2014","76"
"Benin","2016","72"
"Bhutan","2011","91"
"Bolivia (Plurinational State of)","2006","77"
"Bosnia and Herzegovina","2010","91"
"Botswana","2012","97"
"Burkina Faso","2009","83"
"Burundi","2015","83"
"Cabo Verde","2014","99"
"Cambodia","2013","77"
"Cameroon","2017","70"
"Central African Republic","2011","50"
"Chad","2016","28"
"China","2003","96"
"Colombia","2009","83"
"Comoros","2011","73"
"Congo","2013","50"
"Costa Rica","2010","94"
"C̫te d'Ivoire","2017","90"
"Cuba","2012","87"
"Democratic People's Republic of Korea","2016","100"
"Democratic Republic of the Congo","2016","25"
"Djibouti","2013","76"
"Dominican Republic","2013","71"
"Egypt","2013","59"
"El Salvador","2013","90"
"Equatorial Guinea","2014","41"
"Eritrea","2015","97"
"Eswatini","2013","89"
"Ethiopia","2014","34"
"Fiji","2011","95"
"Gabon","2011","83"
"Gambia","2016","96"
"Ghana","2016","88"
"Greece","2011","82"
"Guatemala","2013","91"
"Guinea","2016","64"
"Guinea-Bissau","2016","82"
"Guyana","2012","87"
"Haiti","2015","68"
"Honduras","2011","90"
"India","2014","63"
"Indonesia","2016","58"
"Iraq","2016","79"
"Jamaica","2009","78"
"Jordan","2016","73"
"Kazakhstan","2014","98"
"Kenya","2012","75"
"Kiribati","2017","21"
"Kyrgyzstan","2017","92"
"Lao People's Democratic Republic","2016","53"
"Lebanon","2014","64"
"Lesotho","2016","84"
"Liberia","2015","60"
"Luxembourg","2010","99"
"Madagascar","2011","46"
"Malawi","2014","79"
"Malaysia","2014","86"
"Maldives","2015","81"
"Mali","2017","56"
"Marshall Islands","2006","75"
"Mauritania","2014","29"
"Mexico","2014","75"
"Mongolia","2017","93"
"Montenegro","2012","90"
"Morocco","2016","87"
"Mozambique","2014","74"
"Myanmar","2014","45"
"Namibia","2012","70"
"Nauru","2006","95"
"Nepal","2015","52"
"Niger","2016","74"
"Nigeria","2017","40"
"occupied Palestinian territory, including east Jerusalem","2012","84"
"Pakistan","2016","63"
"Papua New Guinea","2016","61"
"Paraguay","2015","89"
"Peru","2012","79"
"Philippines","2016","64"
"Republic of Moldova","2011","95"
"North Macedonia","2009","89"
"Rwanda","2013","94"
"Samoa","2012","67"
"Sao Tome and Principe","2012","92"
"Senegal","2017","80"
"Serbia","2013","87"
"Sierra Leone","2016","81"
"Solomon Islands","2013","78"
"Somalia","2010","13"
"South Africa","2015","66"
"South Sudan","2011","51"
"Sri Lanka","2000","91"
"Sudan","2013","44"
"Suriname","2016","77"
"Syrian Arab Republic","2005","55"
"Tajikistan","2016","90"
"Thailand","2013","86"
"Timor-Leste","2015","51"
"Togo","2016","75"
"Tonga","2011","48"
"Trinidad and Tobago","2004","79"
"Tunisia","2016","87"
"Turkey","2007","73"
"Turkmenistan","2014","100"
"Tuvalu","2006","33"
"Uganda","2015","57"
"Ukraine","2011","92"
"United Republic of Tanzania","2018","85"
"Vanuatu","2012","57"
"Viet Nam","2012","94"
"Yemen","2012","47"
"Zambia","2017","77"
"Zimbabwe","2017","86"
