,Country,Income Classification,Severe Wasting,Wasting,Overweight,Stunting,Underweight,U5 Population ('000s)
0,AFGHANISTAN,0.0,3.033333333333333,10.35,5.125,47.775000000000006,30.375,4918.5615
1,ALBANIA,2.0,4.075,7.76,20.8,24.16,7.7,232.8598
2,ALGERIA,2.0,2.733333333333333,5.942857142857143,12.833333333333334,19.571428571428573,7.3428571428571425,3565.213142857144
3,ANGOLA,1.0,2.4,6.933333333333333,2.55,42.63333333333333,23.600000000000005,3980.054
4,ARGENTINA,2.0,0.2,2.1500000000000004,11.125,10.025,2.6,3613.65175
5,ARMENIA,2.0,1.6,3.94,13.62,16.119999999999997,3.4800000000000004,204.1452
6,AUSTRALIA,3.0,0.0,0.0,13.875,1.0,0.1,1443.0745
7,AZERBAIJAN,2.0,2.575,5.433333333333334,9.183333333333334,21.816666666666663,8.083333333333334,740.5016666666667
9,BANGLADESH,1.0,2.813636363636364,14.5375,0.9625000000000002,54.22916666666666,46.26666666666666,15837.4275
10,BARBADOS,3.0,2.0,6.8,12.2,7.7,3.5,16.653
11,BELARUS,2.0,0.6,2.2,9.7,4.5,1.3,445.676
12,BELIZE,2.0,0.8333333333333334,2.333333333333333,9.6,18.766666666666666,5.300000000000001,36.1045
13,BENIN,0.0,2.425,7.7,2.275,35.375,20.125,1476.52575
14,BHUTAN,1.0,1.4,4.525,5.1,44.25,17.8,74.79675
15,BOLIVIA (PLURINATIONAL STATE OF),1.0,0.7000000000000001,1.9,8.6,29.728571428571424,7.472727272727273,1104.222181818182
16,BOSNIA AND HERZEGOVINA,2.0,2.2,4.566666666666666,19.8,10.933333333333332,2.466666666666667,194.15666666666667
17,BOTSWANA,2.0,2.85,8.8,10.05,31.03333333333333,12.666666666666666,226.70900000000003
18,BRAZIL,2.0,0.7,2.3,6.25,13.133333333333333,3.925,17071.496
19,BRUNEI DARUSSALAM,3.0,0.4,2.9,8.3,19.7,9.6,31.337
20,BULGARIA,2.0,1.5333333333333332,4.666666666666667,9.0,7.466666666666666,2.0,344.03733333333327
21,BURKINA FASO,0.0,4.1692307692307695,12.73076923076923,2.2500000000000004,33.346153846153854,25.076923076923077,2796.190615384616
22,BURUNDI,0.0,1.2600000000000002,6.666666666666667,1.775,57.6,32.25,1497.888
24,CAMBODIA,1.0,3.483333333333334,11.466666666666669,3.033333333333333,43.68333333333333,31.98333333333333,1651.6621666666667
25,CAMEROON,1.0,1.8142857142857145,5.671428571428571,8.042857142857143,33.74285714285714,14.685714285714283,3170.714285714286
27,CENTRAL AFRICAN REPUBLIC (THE),0.0,3.16,8.766666666666667,5.380000000000001,41.78333333333333,23.36666666666667,673.2005
28,CHAD,0.0,5.5,15.239999999999998,3.0400000000000005,41.260000000000005,31.4,2024.2904000000003
30,CHINA,2.0,0.9199999999999996,3.1749999999999994,7.027272727272727,20.6,7.900000000000001,97488.13341666663
31,COLOMBIA,2.0,0.3666666666666667,1.657142857142857,4.783333333333333,18.214285714285715,5.8571428571428585,4111.355285714286
32,COMOROS (THE),1.0,5.4,10.125,12.466666666666669,39.125,19.575,90.28775
33,CONGO (THE),1.0,2.4333333333333336,7.2,4.875,26.725,13.099999999999998,614.63825
35,COTE D'IVOIRE,1.0,2.6,8.8,4.3,31.385714285714283,17.67142857142857,2943.459428571429
37,CZECHIA,3.0,1.0,3.7,5.550000000000001,2.9000000000000004,1.5,543.6065000000001
38,DEMOCRATIC PEOPLE'S REP. OF KOREA (THE),0.0,1.275,8.842857142857143,1.0666666666666669,40.3,23.12857142857143,1862.4604285714283
39,DEMOCRATIC REP. OF THE CONGO (THE),0.0,4.15,10.86,5.75,45.46,26.84,10621.0802
40,DJIBOUTI,1.0,9.4,17.075,8.25,30.075000000000003,22.625,99.44525
41,DOMINICAN REPUBLIC (THE),2.0,0.7428571428571429,2.2125,6.7,12.749999999999998,5.1625,990.9735
42,ECUADOR,2.0,0.58,2.183333333333333,5.720000000000001,28.75,8.316666666666666,1530.0248333333332
43,EGYPT,1.0,2.4875000000000003,5.79,13.7625,28.5,8.639999999999999,8911.539818181818
44,EL SALVADOR,1.0,0.4333333333333333,1.7,4.75,26.600000000000005,7.766666666666667,696.23
45,EQUATORIAL GUINEA,2.0,2.425,4.775,8.85,35.65,11.425,115.3865
46,ERITREA,0.0,4.633333333333333,14.6,1.6666666666666667,53.225,37.55,407.6545
47,ESWATINI,1.0,0.5999999999999999,1.7,11.425,32.5,6.819999999999999,148.2304
48,ETHIOPIA,0.0,3.016666666666666,9.957142857142856,2.75,47.84285714285714,31.057142857142853,13942.345571428572
49,FIJI,2.0,2.0,8.05,3.65,5.9,6.1,94.238
50,GABON,2.0,1.4,3.8,6.6,21.45,7.7,219.3365
51,GAMBIA (THE),0.0,2.085714285714286,8.385714285714286,2.228571428571428,23.7,16.300000000000004,317.164625
52,GEORGIA,2.0,0.8500000000000001,2.5666666666666664,19.53333333333333,14.0,2.0666666666666664,252.58
53,GERMANY,3.0,0.1,0.65,3.35,1.5,0.8,3641.69
54,GHANA,1.0,2.011111111111111,7.622222222222222,2.8222222222222224,29.477777777777785,17.244444444444444,3299.961888888889
55,GUATEMALA,2.0,0.8571428571428571,2.2857142857142856,5.4,54.1,19.057142857142853,1849.8642857142856
56,GUINEA,0.0,3.242857142857143,9.425,4.333333333333333,34.2375,19.262500000000003,1712.441125
57,GUINEA-BISSAU,0.0,2.9250000000000003,8.125,6.75,35.275,18.05,243.32675
58,GUYANA,2.0,2.45,9.12,5.24,15.279999999999998,11.383333333333336,87.14283333333334
59,HAITI,0.0,1.98,6.616666666666667,3.66,29.916666666666668,16.9,1216.8086666666666
60,HONDURAS,1.0,0.275,1.828571428571429,3.9,36.85714285714285,13.785714285714286,963.0245714285712
61,INDIA,1.0,6.116666666666667,18.766666666666666,2.9333333333333336,49.05555555555556,42.977777777777774,123014.491
62,INDONESIA,1.0,4.171428571428572,11.375,7.199999999999999,38.3625,24.3625,22286.513875
63,IRAN (ISLAMIC REPUBLIC OF),2.0,1.4,5.75,6.2,14.675,8.0,6392.826999999999
64,IRAQ,2.0,2.175,5.542857142857143,9.5,24.514285714285712,8.500000000000002,4213.459714285715
65,JAMAICA,2.0,0.9210526315789472,3.3950000000000005,5.994736842105262,8.680000000000001,3.955000000000001,272.90005
66,JAPAN,3.0,0.2,2.3,1.5,7.1,3.4,5554.144
67,JORDAN,2.0,0.7600000000000001,2.58,5.72,11.76,3.5,828.3772000000001
68,KAZAKHSTAN,2.0,1.58,4.2,9.7,15.02,3.76,1485.4536
69,KENYA,1.0,2.3625000000000003,6.466666666666667,5.95,37.144444444444446,16.75,5569.008888888889
71,KUWAIT,3.0,0.6285714285714284,2.5222222222222226,7.98888888888889,4.661111111111112,2.353333333333333,254.7628888888888
72,KYRGYZSTAN,1.0,0.8166666666666668,2.533333333333333,7.666666666666665,19.916666666666668,4.366666666666667,642.159
73,LAO PEOPLE'S DEMOCRATIC REP. (THE),1.0,3.2,10.514285714285714,2.4,44.92857142857143,30.871428571428567,794.6028571428571
74,LEBANON,2.0,2.25,5.1,18.75,16.85,3.85,436.8065
75,LESOTHO,1.0,1.62,6.671428571428571,9.82,40.2,14.085714285714287,263.2922857142857
76,LIBERIA,0.0,1.7799999999999998,5.84,3.4799999999999995,37.22,17.740000000000002,618.2774000000001
77,LIBYA,2.0,3.233333333333333,6.766666666666666,21.8,26.73333333333333,7.166666666666667,621.9033333333333
78,MADAGASCAR,0.0,2.24,9.957142857142856,2.5,52.575,34.31428571428571,2932.9285
79,MALAWI,0.0,1.6076923076923082,4.64,7.484615384615385,49.10714285714285,17.40666666666667,2409.5668
81,MALDIVES,2.0,4.725,15.779999999999998,4.66,32.6,30.32,36.0454
82,MALI,0.0,4.457142857142856,13.242857142857144,2.2,34.41428571428572,26.67142857142857,2533.5642857142857
83,MARSHALL ISLANDS,2.0,1.1,3.5,4.1,34.8,11.9,1.0
84,MAURITANIA,1.0,3.975,13.41,2.6375,34.17,24.866666666666667,500.2949
86,MEXICO,2.0,0.6499999999999999,3.825,7.371428571428572,19.175,6.525,11349.53525
87,MONGOLIA,1.0,0.9625,2.444444444444444,9.925,20.777777777777786,5.911111111111111,290.8246666666667
88,MONTENEGRO,2.0,1.7000000000000002,3.5,19.0,8.65,1.6,39.3245
89,MOROCCO,1.0,1.95,4.483333333333333,10.866666666666667,23.85,6.916666666666667,3310.867166666667
90,MOZAMBIQUE,0.0,2.566666666666667,6.8,6.566666666666666,47.84285714285715,20.75714285714286,3619.840285714286
91,MYANMAR,1.0,2.5,9.771428571428572,4.62,45.1,29.75555555555555,5089.456555555556
92,NAMIBIA,2.0,2.75,8.575000000000001,4.125,29.200000000000003,18.05,273.58849999999995
93,NAURU,2.0,0.2,1.0,2.8,24.0,4.8,1.0
94,NEPAL,0.0,2.5285714285714285,10.325,1.0285714285714287,51.9125,36.95,3226.073625
95,NICARAGUA,1.0,0.75,2.033333333333333,6.55,24.066666666666663,7.033333333333334,671.9388333333333
96,NIGER (THE),0.0,4.33,15.936363636363636,1.52,46.0,38.263636363636365,3137.2158181818177
97,NIGERIA,1.0,4.379999999999999,12.045454545454549,4.890909090909092,39.46363636363637,26.681818181818183,26759.820363636365
98,NORTH MACEDONIA,2.0,0.6333333333333334,2.3,12.733333333333333,8.066666666666668,1.6666666666666667,125.12866666666666
99,OMAN,3.0,1.6800000000000002,7.783333333333334,3.5500000000000003,16.066666666666666,11.916666666666666,332.156
100,PAKISTAN,1.0,4.5,14.314285714285711,4.757142857142857,46.67142857142858,33.737500000000004,21774.897875
101,PANAMA,3.0,0.3333333333333333,1.366666666666667,9.066666666666666,19.83333333333333,4.733333333333333,346.0026666666667
102,PAPUA NEW GUINEA,1.0,2.8000000000000003,8.0,6.733333333333333,46.46666666666667,22.9,869.4279999999999
103,PARAGUAY,2.0,0.3333333333333333,1.3250000000000002,9.275,13.025,2.525,679.4762499999999
104,PERU,2.0,0.2133333333333333,0.7933333333333332,8.940000000000001,21.860000000000003,4.320000000000001,2922.842400000001
105,PHILIPPINES (THE),1.0,1.92,7.127272727272726,3.1,36.27272727272728,24.14545454545454,10529.683272727272
108,REPUBLIC OF KOREA (THE),3.0,0.15,1.05,6.75,2.5,0.8,2487.097
109,REPUBLIC OF MOLDOVA (THE),1.0,1.45,3.85,6.9,8.55,2.7,215.5515
110,ROMANIA,2.0,0.9000000000000001,3.72,8.080000000000002,13.22,3.88,1268.1806
111,RWANDA,0.0,1.425,4.866666666666666,6.314285714285715,46.31111111111111,15.88888888888889,1423.7553333333335
112,SAINT LUCIA,2.0,0.7,3.7,6.3,2.5,2.8,11.07
113,SAMOA,2.0,1.3,2.6,5.75,5.65,2.45,27.0955
114,SAO TOME AND PRINCIPE,1.0,2.333333333333333,7.0200000000000005,9.55,28.880000000000003,11.26,25.896000000000004
115,SAUDI ARABIA,3.0,4.5,7.35,3.65,15.35,9.4,2744.397
116,SENEGAL,1.0,1.825,8.27142857142857,2.115384615384615,22.73571428571429,16.3,2036.3530714285716
117,SERBIA,2.0,1.2333333333333334,3.966666666666667,16.266666666666666,6.9,1.7333333333333334,489.82666666666665
118,SEYCHELLES,3.0,1.2,3.5,8.0,7.800000000000001,4.3,8.1065
119,SIERRA LEONE,0.0,3.075,8.610000000000001,6.237500000000001,37.2,20.39,982.5267
120,SINGAPORE,3.0,0.5,3.6,2.6,4.4,3.3,237.083
121,SOLOMON ISLANDS,1.0,2.333333333333333,6.733333333333333,2.966666666666667,32.733333333333334,14.666666666666666,73.68666666666667
122,SOMALIA,0.0,4.35,15.633333333333336,3.85,32.166666666666664,26.03333333333333,2017.3263333333327
123,SOUTH AFRICA,2.0,2.92,5.371428571428572,13.614285714285714,29.071428571428573,9.714285714285715,5274.622
124,SOUTH SUDAN,0.0,11.4,23.65,8.45,33.75,30.1,1459.2625
125,SRI LANKA,2.0,2.45,15.7625,1.05,21.8625,26.0,1753.71225
126,STATE OF PALESTINE,1.0,0.8499999999999999,3.733333333333334,7.58,11.550000000000002,2.92,594.9526666666667
127,SUDAN (THE),1.0,4.766666666666667,15.4,2.9,36.86666666666667,29.933333333333334,5551.013
128,SURINAME,2.0,1.2666666666666666,5.633333333333333,3.633333333333333,11.166666666666666,8.133333333333335,53.059666666666665
129,SYRIAN ARAB REPUBLIC (THE),0.0,5.05,9.566666666666665,17.825000000000003,28.55,10.05,2476.2093333333337
130,TAJIKISTAN,0.0,2.483333333333333,8.290909090909091,6.116666666666666,33.77272727272727,10.933333333333332,979.9402727272728
131,THAILAND,2.0,1.475,6.083333333333333,6.619999999999999,17.733333333333334,12.466666666666669,4651.628833333333
132,TIMOR-LESTE,1.0,4.775,15.62,3.65,55.38,42.8,160.4448
133,TOGO,0.0,2.0375,7.712499999999999,2.3999999999999995,30.922222222222224,18.93333333333333,957.8651111111112
134,TONGA,2.0,2.1,3.25,17.3,5.15,1.9,13.9005
135,TRINIDAD AND TOBAGO,3.0,1.4,5.466666666666666,6.633333333333333,6.933333333333333,5.133333333333334,113.71333333333332
136,TUNISIA,1.0,1.1,3.583333333333334,9.080000000000002,12.45,3.65,928.927
137,TURKEY,2.0,0.6,2.1,7.75,14.35,4.842857142857143,6543.739571428572
138,TURKMENISTAN,2.0,1.6,6.166666666666667,5.2,19.5,7.633333333333333,563.6246666666666
139,TUVALU,2.0,0.9,3.3,6.3,10.0,1.6,1.0
140,UGANDA,0.0,1.3333333333333337,4.522222222222222,4.277777777777778,38.333333333333336,15.533333333333337,5647.890555555557
141,UKRAINE,1.0,3.8,8.2,26.5,22.9,4.1,2160.097
142,UNITED REPUBLIC OF TANZANIA (THE),0.0,1.5,5.054545454545454,4.540000000000001,40.99090909090909,17.727272727272723,7373.04890909091
143,UNITED STATES OF AMERICA (THE),3.0,0.04,0.5142857142857143,7.414285714285714,2.914285714285714,0.8800000000000001,20077.90957142857
144,URUGUAY,3.0,0.65,2.3833333333333333,9.166666666666666,14.242857142857144,5.128571428571429,255.65900000000005
145,UZBEKISTAN,1.0,2.975,6.4750000000000005,10.925,23.7,7.0,2957.5055
146,VANUATU,1.0,1.7,5.8,4.800000000000001,26.766666666666666,11.266666666666666,31.77133333333333
148,VIET NAM,1.0,2.3312500000000003,8.661904761904761,3.3176470588235287,34.922727272727265,22.91818181818182,7507.220272727272
149,YEMEN,0.0,5.3,15.242857142857142,4.842857142857143,51.9,37.78571428571428,3269.476
150,ZAMBIA,1.0,2.042857142857143,5.542857142857144,7.228571428571429,48.1375,17.885714285714286,2083.4945
151,ZIMBABWE,1.0,1.3888888888888888,4.166666666666666,5.788888888888889,30.455555555555552,10.71,1912.4504
